composition_id,W,Re,Os,H25_HV,H1000_HV,R1000,pileup_um,TOPSIS_Ci,phase_label
W72Re6Os22,72,6,22,1399,1050,0.75,0.25,0.52,BCT-ReW
W72Re9Os19,72,9,19,1452,1101,0.76,0.28,0.54,BCT-ReW
W72Re12Os16,72,12,16,1452,1106,0.76,0.33,0.54,BCT-ReW
W72Re15Os13,72,15,13,1425,1102,0.77,0.28,0.54,BCT-ReW
W72Re18Os10,72,18,10,1399,1082,0.77,0.28,0.54,BCT-ReW+BCC
W72Re21Os7,72,21,7,1346,1025,0.76,0.14,0.52,BCT-ReW+BCC
W72Re24Os4,72,24,4,1320,994,0.75,0.66,0.53,BCT-ReW+BCC
W75Re3Os22,75,3,22,1267,907,0.72,0.14,0.47,BCT-ReW
W75Re6Os19,75,6,19,1294,956,0.74,0.11,0.49,BCT-ReW
W75Re9Os16,75,9,16,1320,976,0.74,0.17,0.5,BCT-ReW
W75Re12Os13,75,12,13,1294,973,0.75,0.0,0.5,BCT-ReW+BCC
W75Re15Os10,75,15,10,1268,953,0.75,0.14,0.5,BCT-ReW+BCC
W75Re18Os7,75,18,7,1245,934,0.75,0.68,0.51,BCT-ReW+BCC
W75Re21Os4,75,21,4,1241,942,0.76,0.78,0.52,BCT-ReW+BCC
W78Re3Os19,78,3,19,1136,813,0.72,0.66,0.46,BCT-ReW
W78Re6Os16,78,6,16,1162,832,0.72,0.14,0.45,BCT-ReW+BCC
W78Re9Os13,78,9,13,1180,858,0.73,0.16,0.47,BCT-ReW+BCC
W78Re12Os10,78,12,10,1136,839,0.74,0.14,0.47,BCT-ReW+BCC
W78Re15Os7,78,15,7,1110,820,0.74,0.14,0.46,BCT-ReW+BCC
W78Re18Os4,78,18,4,1129,821,0.73,0.67,0.47,BCT-ReW+BCC
W81Re3Os16,81,3,16,1000,777,0.78,0.14,0.47,BCT-ReW+BCC
W81Re6Os13,81,6,13,978,678,0.69,0.96,0.42,BCT-ReW+BCC
W81Re9Os10,81,9,10,867,644,0.74,0.14,0.43,BCT-ReW+BCC
W81Re12Os7,81,12,7,978,700,0.72,0.14,0.42,BCT-ReW+BCC
W81Re15Os4,81,15,4,980,691,0.71,0.65,0.43,BCT-ReW+BCC
W84Re3Os13,84,3,13,873,591,0.68,1.35,0.4,BCT-ReW+BCC
W84Re6Os10,84,6,10,872,575,0.66,1.34,0.39,BCT-ReW+BCC
W84Re9Os7,84,9,7,847,565,0.67,1.34,0.39,BCT-ReW+BCC
W84Re12Os4,84,12,4,845,563,0.67,1.35,0.39,BCT-ReW+BCC
W87Re3Os10,87,3,10,739,501,0.68,1.34,0.38,BCT-ReW+BCC
W87Re6Os7,87,6,7,743,504,0.68,1.34,0.38,BCT-ReW+BCC
W87Re9Os4,87,9,4,741,502,0.68,1.35,0.38,BCT-ReW+BCC
W90Re3Os7,90,3,7,635,431,0.68,1.34,0.36,BCT-ReW+BCC
W90Re6Os4,90,6,4,636,431,0.68,1.34,0.36,BCT-ReW+BCC
W93Re3Os4,93,3,4,531,368,0.69,1.31,0.36,BCC
