catnr,compound_name,hgpcr,rlu,z_score,smiles
CFN90309,9-Aminocamptothecin,5HT4B,3096.5,0.4637849542356279,CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=C(C=CC=C5N=C4C3=C2)N)O
CFN90157,10-Methoxycamptothecin,5HT4B,3148.0,0.5833590475679674,CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=C(C3=C2)N=C5C=CC(=CC5=C4)OC)O
CFN90130,Calebassine,5HT4B,3013.0,0.26991239514338794,C/C=C/1\C2C3C4(N(C5=CC=CC=C5C46C(C2)[N+](C1)(CC6)C)C7C3N8C9(C7C1/C(=C\C)/C[N+]2(C(C9(C3=CC=CC=C83)CC2)C1)C)O)O
CFN96067,Pericyclivine,5HT4B,3508.0,1.4192167873668462,C/C=C/1\CN2[C@@H]3CC4=C(C2C[C@H]1C3C(=O)OC)NC5=CC=CC=C45
CFN96211,Macusine B,5HT4B,2896.0,-0.0017413702912476641,CC=C1C[N+]2(C3CC1C(C2CC4=C3NC5=CC=CC=C45)CO)C
CFN98652,"4,R-ajmalicine N-oxide",5HT4B,3265.0,0.855012813002603,C[C@H]1[C@H]2C[N+]3(CCC4=C([C@@H]3C[C@@H]2C(=CO1)C(=O)OC)NC5=CC=CC=C45)[O-]
CFN96329,Conquinamine,5HT4B,2919.5,0.05282156550117914,C=CC1CN2CCC1CC2C34C(CCO3)(C5=CC=CC=C5N4)O
CFN97056,11-Methoxyuncarine C,5HT4B,3126.5,0.5334397658855344,CC1C2CN3CCC4(C3CC2C(=CO1)C(=O)OC)C5=C(C=C(C=C5)OC)NC4=O
CFN97163,Nortetraphyllicine,5HT4B,2946.5,0.11551089598609506,C/C=C\1/CN2[C@H]3C[C@@H]1C4[C@@H]2C[C@@]5([C@H]3NC6=CC=CC=C65)[C@@H]4O
CFN98460,Vineridine,5HT4B,2376.5,-1.2079305253621295,C[C@H]1[C@@H]2CN3CC[C@@]4([C@H]3C[C@@H]2C(=CO1)C(=O)OC)C5=C(C=C(C=C5)OC)NC4=O
CFN97316,Picrasidine A,5HT4B,2965.5,0.15962561003103587,COC1=CC=CC2=C1NC3=C2C(=CN=C3CCC(=O)C4=NC=CC5=C4NC6=CC=CC=C56)OC
CFN96242,Akuammidine,5HT4B,3015.0,0.2745560492533817,C/C=C\1/CN2[C@H]3C[C@@H]1[C@]([C@@H]2CC4=C3NC5=CC=CC=C45)(CO)C(=O)OC
CFN96445,Voafinidine,5HT4B,3017.0,0.27919970336337546,CC[C@]12CCC3=C(CCN(C1)C[C@@H]([C@H]2O)O)C4=CC=CC=C4N3C
CFN99237,Picrasidine T,5HT4B,2921.0,0.05630430608367447,COC1=CN=C(C2=C1C3=C(N2)C(=CC=C3)O)C4CCCC5=[N+]4C=C(C6=C5NC7=C6C=CC=C7O)OC
CFN89217,Scandine Nb-oxide,5HT4B,3454.0,1.2938381263970145,COC(=O)[C@]12C[C@@]3(C=CC[N@+]4([C@@H]3[C@@]1(CC4)C5=CC=CC=C5NC2=O)[O-])C=C
CFN96650,Taberdivarine H,5HT4B,3113.0,0.5020951006430765,C/C=C\1/C[N+]2(CCC3=C4[C@@H]2C[C@@H]1[C@@H](N4C5=CC=CC=C35)C(=O)[O-])C
CFN89174,Conodurine,5HT4B,3293.5,0.9211848840700143,CCC1CC2CC3(C1N(C2)CCC4=C3NC5=C4C=CC(=C5C6CC\7C(C(CC8=C6NC9=CC=CC=C89)N(C/C7=C\C)C)C(=O)OC)OC)C(=O)OC
CFN96730,10-Acetoxyscandine,5HT4B,3240.5,0.7981280501551794,CC(=O)OC1=CC2=C(C=C1)NC(=O)C3(C24CCN5C4C(C3)(C=CC5)C=C)C(=O)OC
CFN89178,Hecubine,5HT4B,3530.5,1.4714578961042761,CC[C@]12CCC3=C(CCN(C1)C[C@@H]4[C@H]2O4)C5=CC=CC=C5N3C
CFN89203,Echitoveniline,5HT4B,3124.0,0.5276351982480422,C[C@H]([C@@]12CCCN3[C@@H]1[C@@]4(CC3)C5=CC=CC=C5NC4=C(C2)C(=O)OC)OC(=O)C6=CC(=C(C(=C6)OC)OC)OC
CFN96687,Rauvoyunine B,5HT4B,2961.0,0.1491773882835499,C/C=C\1/CN2[C@H]3C[C@@H]1[C@@]([C@@]45[C@@]3(NC6=C4C=CC(=C6)O)O[C@H]2C5)(COC(=O)C)C(=O)OC
CFN96747,Rauvotetraphylline A,5HT4B,2697.5,-0.4626240407081294,C/C=C(/CO)\[C@@H]1C[C@H]2C3=C(C[C@@H]([C@H]1CO)N2C)C4=C(N3)C=CC(=C4)O
CFN96750,Rauvotetraphylline C,5HT4B,2735.5,-0.37439461261824775,C/C=C/1\[C@H]2C[C@H]3C4=C(C[C@@H](C2C=CC(=O)C)N3[C@@H]1O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)C6=CC=CC=C6N4
CFN96751,Rauvotetraphylline B,5HT4B,2305.0,-1.373941159794407,C/C=C/1\[C@H]2C[C@H]3C4=C(C[C@@H](C2C5=CC(=CC(=N5)C)C)N3[C@@H]1O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O)C7=CC=CC=C7N4
CFN89194,Echitovenidine,5HT4B,2794.0,-0.23856772990092998,CC([C@@]12CCCN3[C@@H]1[C@@]4(CC3)C5=CC=CC=C5NC4=C(C2)C(=O)OC)OC(=O)C=C(C)C
