lipid_id,head,amino_acid,tail,amino_acid_full,aa_proteinogenic,head_description,log2_luc_pred,log2_luc_paper,log2_is_paper_verified,below_heatmap_floor,R,G,B,size_px,darkness
CHAla-13,CH,Ala,13,alanine,1,"cyclic head (cyclohexyl- isocyanide, rigid)",5.0,,0,1,168.1531690140845,209.55046948356807,209.55046948356807,1704,18.468593749999997
CHAla-14,CH,Ala,14,alanine,1,"cyclic head (cyclohexyl- isocyanide, rigid)",5.0,,0,1,170.64128035320087,208.56291390728478,209.41997792494482,1812,19.303802083333352
CHAla-15,CH,Ala,15,alanine,1,"cyclic head (cyclohexyl- isocyanide, rigid)",5.0,,0,1,180.63915789473685,204.0416842105263,211.2501052631579,2375,23.315572916666667
CHAla-16,CH,Ala,16,alanine,1,"cyclic head (cyclohexyl- isocyanide, rigid)",5.0,,0,1,200.7843797856049,196.06462480857581,214.6425727411945,3265,28.294062499999995
CHAsn-1,CH,Asn,1,asparagine,1,"cyclic head (cyclohexyl- isocyanide, rigid)",5.0,,0,1,172.54040144107051,207.7843540916109,210.41688111168295,1943,20.164999999999992
CHAsn-2,CH,Asn,2,asparagine,1,"cyclic head (cyclohexyl- isocyanide, rigid)",9.642844923638066,,0,0,200.71344897499438,166.95088984005406,198.87677404820906,4439,47.59072916666665
CHAsn-3,CH,Asn,3,asparagine,1,"cyclic head (cyclohexyl- isocyanide, rigid)",5.3984341664676165,,0,1,211.46080824518577,191.7678329264985,217.07268782207757,3687,29.946822916666633
CHAsn-4,CH,Asn,4,asparagine,1,"cyclic head (cyclohexyl- isocyanide, rigid)",5.0,,0,1,203.4151891252955,194.97222222222223,215.47990543735224,3384,28.858749999999986
CHAsn-5,CH,Asn,5,asparagine,1,"cyclic head (cyclohexyl- isocyanide, rigid)",5.0,,0,1,179.4689265536723,204.74011299435028,211.08213820078228,2301,22.887395833333358
CHAsn-6,CH,Asn,6,asparagine,1,"cyclic head (cyclohexyl- isocyanide, rigid)",5.0,,0,1,191.32604925424906,200.46756850502948,213.27436697884147,2883,26.191249999999997
CHAsn-7,CH,Asn,7,asparagine,1,"cyclic head (cyclohexyl- isocyanide, rigid)",5.0,,0,1,197.24825396825398,197.24825396825398,213.9047619047619,3150,27.849114583333318
CHAsn-8,CH,Asn,8,asparagine,1,"cyclic head (cyclohexyl- isocyanide, rigid)",5.0,,0,1,183.85455262120615,202.82577847851795,211.88529759558534,2537,24.33744791666669
CHAsn-9,CH,Asn,9,asparagine,1,"cyclic head (cyclohexyl- isocyanide, rigid)",5.0,,0,1,201.5911419102139,195.00843627598675,214.55679421512502,3319,28.841874999999987
CHAsn-10,CH,Asn,10,asparagine,1,"cyclic head (cyclohexyl- isocyanide, rigid)",17.576644249754114,17.3398065,1,0,149.77286742034943,69.94844124700239,129.3544021925317,5838,126.9675
CHAsn-11,CH,Asn,11,asparagine,1,"cyclic head (cyclohexyl- isocyanide, rigid)",15.147401568099966,14.9546053,1,0,175.88726667898726,118.94270929587877,162.35538717427463,5411,87.57770833333336
CHAsn-12,CH,Asn,12,asparagine,1,"cyclic head (cyclohexyl- isocyanide, rigid)",5.0,,0,1,207.8703081232493,192.90224089635853,216.26526610644257,3570,29.692604166666683
CHAsn-13,CH,Asn,13,asparagine,1,"cyclic head (cyclohexyl- isocyanide, rigid)",5.0,,0,1,186.30673222390317,201.75529500756429,211.74394856278366,2644,25.04078125000001
CHAsn-14,CH,Asn,14,asparagine,1,"cyclic head (cyclohexyl- isocyanide, rigid)",5.0,,0,1,175.04666666666665,206.27857142857144,209.82857142857142,2100,21.53802083333332
CHAsn-15,CH,Asn,15,asparagine,1,"cyclic head (cyclohexyl- isocyanide, rigid)",5.0,,0,1,174.9653846153846,206.2389423076923,209.74326923076924,2080,21.359895833333326
CHAsn-16,CH,Asn,16,asparagine,1,"cyclic head (cyclohexyl- isocyanide, rigid)",5.0,,0,1,181.24716743600504,203.845992446496,211.1019723038187,2383,23.45046875
CHCha-1,CH,Cha,1,β-cyclohexylalanine,0,"cyclic head (cyclohexyl- isocyanide, rigid)",6.810186035381779,,0,0,208.94513589027179,183.80848361696724,211.75946151892305,3937,34.964895833333344
CHCha-2,CH,Cha,2,β-cyclohexylalanine,0,"cyclic head (cyclohexyl- isocyanide, rigid)",5.0,,0,1,206.02268811028145,193.89632395175187,215.37105112004596,3482,29.265364583333366
